At1g24260,At5g59820
At2g20180,At5g54970
At2g20180,At2g45910
At1g58090,At3g27920
At5g41315,At5g56910
At1g01360,At4g23810
At5g13790,At5g62220
At1g68500,At2g02820
At5g11260,At5g59930
At1g24260,At1g51140
At1g71870,At5g13790
At1g28300,At5g50600
At4g23810,At5g48900
At1g34020,At2g02820
At2g20180,At5g10510
At2g41070,At3g51810
At1g24260,At2g32020
At3g56590,At5g41315
At1g54950,At3g27920
At4g10310,At5g13790
At1g24260,At4g24670
At1g24260,At4g32340
At1g04150,At5g13790
At1g24260,At5g23330
At3g27920,At5g33285
At1g19400,At5g13790
At2g20180,At3g46660
At1g24260,At5g39040
At2g20180,At3g63350
At4g21940,At5g13790
At1g24260,At5g19440
At3g27920,At4g04110
At1g08300,At1g24260
At3g47630,At3g47640
At2g20180,At4g17230
At1g56600,At2g20180
At2g20180,At3g15210
At4g14695,At5g13790
At3g15210,At3g47640
At1g16730,At5g13790
At1g74690,At3g27920
At2g07180,At5g11260
At5g13790,At5g56270
At1g24260,At2g45310
At5g09590,At5g41315
At3g51895,At5g13790
At1g24260,At3g22970
At1g14350,At2g24750
At2g39550,At5g13790
At1g19000,At1g24260
At1g62290,At3g26790
At2g10310,At3g27920
At1g24260,At5g20250
At1g78990,At5g11260
At3g47570,At5g41315
At1g24260,At5g59960
At2g31040,At3g27920
At4g28200,At5g41315
At3g24110,At5g41315
At1g24260,At3g25500
At1g14350,At2g03930
At4g35190,At5g13790
At3g06545,At5g41315
At1g75490,At2g20180
At1g24260,At4g02480
At3g28340,At5g13790
At2g44940,At5g13790
At3g52480,At4g36920
At5g60630,At5g61850
At2g36010/At5g02470,At2g41460
At1g24260,At3g02550
At2g41870,At5g13790
At1g24260,At5g42650
At4g14880,At5g13790
At3g49450,At5g41315
At3g27920,At3g50470
At1g24260,At4g37580
At2g02820,At3g27210
At1g24260,At4g25470
At5g10170,At5g13790
At1g06400,At1g24260
At1g24260,At5g56530
At1g24260,At4g10310
At2g20180,At4g26000
At1g24260,At1g74440
At2g20180,At2g42870
At5g06980,At5g13790
At1g24260,At2g27050
At1g01040,At1g14350
At4g34980,At5g13790
At4g36920,At5g14550
At4g36920,At5g04020
At1g07430,At5g13790
At1g11260,At5g13790
At3g27920,At5g32517
At4g32460,At5g13790
At1g24260,At5g67280
At4g23810,At4g25470
At3g27660,At5g13790
At2g20180,At2g46970
At2g28350,At5g13790
At1g53090,At4g36920
At5g41315,At5g61450
At1g51460,At4g36920
At1g24260,At3g27960
At4g36250,At5g13790
At1g52890,At2g20180
At5g01830,At5g13790
At1g24260,At3g24420
At1g75070,At5g13790
At5g03570,At5g41315
At2g31650,At5g41315
At1g72460,At3g47640
At1g69120,At5g61850
At1g07760,At1g24260
At4g10120,At5g13790
At1g24260,At5g67411
At5g41315,At5g53970
At5g13790,At5g57710
At4g18960,At5g35390
At5g05140,At5g13790
At1g21460,At5g13790
At1g24260,At5g45340
At1g11840,At5g13790
At1g24260,At5g65380
At2g14610,At5g06950
At5g41315,At5g47370
At1g14350,At3g56270
At1g22530,At2g02820
At1g24260,At2g41370
At1g14350,At3g06770
At4g30996,At5g13790
At4g20500,At5g41315
At1g24260,At4g37250
At1g24260,At3g59765
At2g40130,At4g36920
At1g80290,At5g13790
At1g24260,At1g47610
At2g46270,At5g13790
At3g21560,At5g13790
At3g46300,At5g41315
At2g25460,At5g13790
At2g17420,At5g41315
At1g22490,At5g13790
At3g55710,At4g36920
At5g13790,At5g16190
At1g64710,At2g20180
At1g24260,At4g11820
At1g24260,At5g01720
At1g24260,At1g75180
At5g13790,At5g59740
At2g34060,At3g27920
At2g20180,At3g55560
At2g05260,At5g41315
At2g20180,At3g57520
At1g24260,At1g60060
At1g73687,At5g13790
At1g24260,At1g69030
At2g20180,At3g50730
At2g20180,At5g63800
At1g42130,At3g27920
At1g24260,At4g17460
At3g28860,At5g13790
At1g24260,At3g53990
At3g27920,At4g18725
