"""267087_at""","""At2g32460"""
"""265330_at""","""At2g18440"""
"""264092_at""","""At1g79040"""
"""260397_at""","""At1g69680"""
"""260915_at""","""At1g02660"""
"""261381_at""","""At1g05460"""
"""261275_at""","""At1g26700"""
"""263527_at""","""At2g24810"""
"""265778_at""","""At2g07360"""
"""248127_at""","""At5g54750"""
"""261435_at""","""At1g07620"""
"""253381_at""","""At4g33350"""
"""253527_at""","""At4g31470"""
"""264779_at""","""At1g08570"""
"""260101_at""","""At1g73260"""
"""258469_at""","""At3g06050"""
"""253846_at""","""At4g28000"""
"""246218_at""","""At4g36800"""
"""244924_at""","""orf107f"""
"""259054_at""","""At3g03480"""
"""253673_at""","""At4g29530"""
"""246336_at""","""At3g44900"""
"""258227_at""","""At3g15620"""
"""248958_at""","""At5g45590"""
"""252789_s_at""","""At3g42150"""
"""255126_at""","""At4g08270"""
"""248259_at""","""At5g53330"""
"""266764_at""","""At2g47050"""
"""255896_at""","""At1g17800"""
"""246078_s_at""","""At5g20440"""
"""250511_at""","""At5g09960"""
"""245570_at""","""At4g14670"""
"""261699_at""","""At1g32660"""
"""261146_at""","""At1g19620"""
"""251752_at""","""At3g55740"""
"""249661_x_at""","""At5g36650"""
"""249503_at""","""At5g39310"""
"""245372_at""","""At4g15000"""
"""252566_at""","""At3g46040"""
"""255160_at""","""At4g07820"""
"""256765_at""","""At3g22200"""
"""256246_at""","""At3g66658"""
"""248269_at""","""At5g53470"""
"""263072_at""","""At2g17530"""
"""254769_at""","""At4g13330"""
"""262980_at""","""At1g75680"""
"""255809_at""","""At4g10300"""
"""252990_at""","""At4g38440"""
"""257235_at""","""At3g15060"""
"""256880_at""","""At3g26450"""
"""254704_at""","""At4g18020"""
"""246908_at""","""At5g25610"""
"""265949_at""","""At2g18540"""
"""261409_at""","""At1g07640"""
"""262625_at""","""At1g06440"""
"""255741_at""","""At1g25410"""
"""254884_at""","""At4g11730"""
"""260517_at""","""At1g51420"""
"""264934_at""","""At1g61090"""
"""261186_at""","""At1g34530"""
"""249338_at""","""At5g41090"""
"""262004_at""","""At1g64480"""
"""262879_at""","""At1g64860"""
"""251459_at""","""At3g60200"""
"""250528_at""","""At5g08600"""
"""257522_at""","""At3g08990"""
"""250232_at""","""At5g13950"""
"""261044_at""","""At1g01290"""
"""254274_at""","""At4g22770"""
"""245361_at""","""At4g17790"""
"""247256_at""","""At5g64730"""
"""253628_at""","""At4g30280"""
"""260994_at""","""At1g12130"""
"""247761_at""","""At5g59160"""
"""264078_at""","""At2g28470"""
"""246223_at""","""At4g36890"""
"""246147_s_at""","""At5g20000"""
"""249835_s_at""","""At5g23510"""
"""257306_at""","""At3g30200"""
"""259382_s_at""","""At3g16430"""
"""265264_at""","""At2g42930"""
"""254800_at""","""At4g13070"""
"""251543_at""","""At3g58770"""
"""250824_at""","""At5g05200"""
"""251320_at""","""At3g61530"""
"""261028_at""","""At1g26620"""
"""265081_at""","""At1g03840"""
"""245497_at""","""At4g16460"""
"""264186_at""","""At1g54570"""
"""265410_at""","""At2g16620"""
"""263865_at""","""At2g36910"""
"""255089_at""","""At4g09320"""
"""258712_s_at""","""At3g09680"""
"""245056_at""","""At2g26480"""
"""262200_at""","""At2g01070"""
"""263516_at""","""At2g21600"""
"""248147_at""","""At5g54900"""
"""260703_at""","""At1g32270"""
"""253587_at""","""At4g30770"""
"""255819_s_at""","""At2g40590"""
"""263443_at""","""At2g28630"""
"""251244_at""","""At3g62060"""
"""256282_at""","""At3g12550"""
"""266666_at""","""At2g29780"""
"""250452_at""","""At5g10630"""
"""248969_at""","""At5g45310"""
"""263513_at""","""At2g12400"""
"""246578_at""","""At1g31630"""
"""266468_at""","""At2g47960"""
"""266816_at""","""At2g44970"""
"""254984_s_at""","""At4g10590"""
"""244910_s_at""","""orf119"""
"""253584_at""","""At4g30700"""
"""265515_at""","""At2g06120"""
"""245637_at""","""At1g25230"""
"""252143_at""","""At3g51150"""
"""260747_at""","""At1g78420"""
"""249405_at""","""At5g40280"""
"""256222_at""","""At1g56210"""
"""260533_at""","""At2g43370"""
"""247383_at""","""At5g63410"""
"""267550_at""","""At2g32800"""
"""265876_at""","""At2g42290"""
"""252985_at""","""At4g38350"""
"""246196_at""","""At4g37090"""
"""258129_at""","""At3g24620"""
"""258998_at""","""At3g01820"""
"""262083_at""","""At1g56100"""
"""262489_at""","""At1g21830"""
"""249549_at""","""At5g38180"""
"""267069_at""","""At2g41010"""
"""249989_at""","""At5g18530"""
"""262965_at""","""At1g54310"""
"""263557_at""","""At2g16400"""
"""249588_at""","""At5g37790"""
"""252138_at""","""At3g50990"""
"""263254_x_at""","""At2g06430"""
"""259887_at""","""At1g76360"""
"""255104_at""","""At4g08685"""
"""260554_at""","""At2g41790"""
"""246654_s_at""","""At5g35210"""
"""255302_at""","""At4g04830"""
"""256611_at""","""At3g29270"""
"""245720_at""","""At5g04210"""
"""248244_at""","""At5g53640"""
"""259551_at""","""At1g21190"""
"""252280_at""","""At3g49260"""
"""256728_at""","""At3g25660"""
"""256069_at""","""At1g13740"""
"""265589_at""","""At2g20170"""
"""250374_at""","""At5g11530"""
"""261143_at""","""At1g19770"""
"""261323_at""","""At1g44760"""
"""245408_at""","""At4g17180"""
"""252754_at""","""At3g43510"""
"""258702_at""","""At3g09730"""
"""247624_at""","""At5g60160"""
"""253859_at""","""At4g27657"""
"""251869_at""","""At3g54500"""
"""261003_at""","""At1g26500"""
"""257063_s_at""","""At3g18240"""
"""263416_at""","""At2g17170"""
"""256173_at""","""At1g51730"""
"""255179_at""","""At4g08090"""
"""250308_at""","""At5g12180"""
"""257772_at""","""At3g23080"""
"""259275_at""","""At3g01060"""
"""245961_at""","""At5g19670"""
"""262345_at""","""At1g64180"""
"""263742_at""","""At2g20625"""
"""253026_at""","""At4g38120"""
"""267555_at""","""At2g32765"""
"""253404_at""","""At4g32840"""
"""251643_at""","""At3g57550"""
"""260239_at""","""At1g74360"""
"""247180_at""","""At5g65350"""
"""251979_at""","""At3g53140"""
"""249038_at""","""At5g44280"""
"""264675_at""","""At1g09830"""
"""247452_at""","""At5g62430"""
"""261165_at""","""At1g34430"""
"""262548_at""","""At1g31280"""
"""250053_at""","""At5g17850"""
"""245211_at""","""At5g12370"""
"""266916_at""","""At2g45860"""
"""260891_at""","""At1g29080"""
"""246955_at""","""At5g04870"""
"""261688_at""","""At1g47380"""
"""254693_at""","""At4g17880"""
"""247158_at""","""At5g65780"""
"""256790_at""","""At3g16857"""
"""256794_at""","""At3g22230"""
"""249343_at""","""At5g40650"""
"""263463_at""","""At2g31770"""
"""251810_at""","""At3g55250"""
"""265201_at""","""At2g36810"""
"""246676_at""","""At5g31017"""
"""260639_at""","""At1g53180"""
"""258251_at""","""At3g15810"""
"""256167_at""","""At1g36830"""
